ลำดับที่,ชื่อวิตามินหรือ/ผลิตภัณฑ์เสริมอาหาร,ข้อบ่งใช้,ระดับความเสี่ยง,แหล่งอ้างอิงข้อมูล
1,Vitamin C (Ascorbic Acid),ใช้เป็นผลิตภัณฑ์เสริมอาหาร,ความเสี่ยงต่อสตรีให้นมบุตรต่ำ (1) เหมาะสมต่อการใช้ในสตรีให้นมบุตร หากใช้ในขนาดปกติ (2) - (3) แต่หากใช้ในขนาดที่มากกว่าปกติ ควรเฝ้าระวังผลข้างเคียงที่อาจเกิดขึ้นกับทารก (2) ดังนั้นจึงควรปรึกษาแพทย์หรือเภสัชกรก่อนใช้,"1. Breastfeeding Association for Promotion and Cultural and Research of. Vitamin C. Available from: http://www.e-lactancia.org/sinonimo/108.
2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. 
3. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf"
2,Vitamin A (Retinol),ใช้เป็นผลิตภัณฑ์เสริมอาหาร,ความเสี่ยงต่อสตรีให้นมบุตรต่ำมาก (1) และมีข้อมูลระบุเหมาะสมต่อสตรีให้นมบุตร (2) - (3),"Breastfeeding Association for Promotion and Cultural and Research of. Vitamin A. Available from: http://www.e-lactancia.org/sinonimo/936.
2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. 
3. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf"
3,Vitamin D2 (Ergocalciferol),ใช้เป็นผลิตภัณฑ์เสริมอาหาร,ความเสี่ยงต่อสตรีให้นมบุตรต่ำ (1) และเหมาะสมต่อสตรีให้นมบุตรในกรณีที่ใช้เพื่อเสริมอาหาร (2) - (3)  แต่หากใช้ในกรณีการรักษาควรเฝ้าระวังระดับแคลเซียมในเลือดของทารก (2),"1. Breastfeeding Association for Promotion and Cultural and Research of. Vitamin D. Available from: http://www.e-lactancia.org/producto/571.
2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. 
3. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf"
4,Vitamin D3 (Cholecalciferol),ใช้เป็นผลิตภัณฑ์เสริมอาหาร,ความเสี่ยงต่อสตรีให้นมบุตรต่ำ (1) และเหมาะสมต่อสตรีให้นมบุตร (2) ,"1. Breastfeeding Association for Promotion and Cultural and Research of. Vitamin D. Available from: http://www.e-lactancia.org/producto/410.
2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf"
5,Vitamin E (Tocopherol),ใช้เป็นผลิตภัณฑ์เสริมอาหาร,ความเสี่ยงต่อสตรีให้นมบุตรต่ำมาก (1) และเหมาะสมต่อสตรีให้นมบุตร (2) ,"1. Breastfeeding Association for Promotion and Cultural and Research of. Vitamin E. Available from: http://www.e-lactancia.org/sinonimo/1081.
2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf"
6,Vitamin B1 (Thiamine),ใช้เป็นผลิตภัณฑ์เสริมอาหาร,ความเสี่ยงต่อสตรีให้นมบุตรต่ำมาก (1) เหมาะสมต่อสตรีให้นมบุตร (2) - (3),"1. Breastfeeding Association for Promotion and Cultural and Research of. Vitamin B1. Available from: http://www.e-lactancia.org/sinonimo/2755.
2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. 
3. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf"
7,Vitamin B2 (Riboflavin),ใช้เป็นผลิตภัณฑ์เสริมอาหาร,ความเสี่ยงต่อสตรีให้นมบุตรต่ำมาก (1) เหมาะสมต่อสตรีให้นมบุตร (2) - (3),"1. Breastfeeding Association for Promotion and Cultural and Research of. Vitamin B2. Available from: http://www.e-lactancia.org/producto/1336.
2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. 
3. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf"
8,Vitamin B3 (Nicotinamide),ใช้เป็นผลิตภัณฑ์เสริมอาหาร,ความเสี่ยงต่อสตรีให้นมบุตรต่ำมาก (1) เหมาะสมต่อสตรีให้นมบุตร (2) - (3),"1. Breastfeeding Association for Promotion and Cultural and Research of. Vitamin B3. Available from: http://www.e-lactancia.org/sinonimo/764.
2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. 
3. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf"
9,Vitamin B5 (Pantothenic Acid),ใช้เป็นผลิตภัณฑ์เสริมอาหาร,ความเสี่ยงต่อสตรีให้นมบุตรต่ำมาก (1) เหมาะสมต่อสตรีให้นมบุตร (2),"1. Breastfeeding Association for Promotion and Cultural and Research of. Vitamin B5. Available from: http://www.e-lactancia.org/producto/1176.
2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf"
10,Vitamin B6 (Pyridoxine),ใช้เป็นผลิตภัณฑ์เสริมอาหาร,ความเสี่ยงต่อสตรีให้นมบุตรต่ำมาก (1) เหมาะสมต่อสตรีให้นมบุตร (2) - (3),"1. Breastfeeding Association for Promotion and Cultural and Research of. Vitamin B6. Available from: http://www.e-lactancia.org/producto/1228.
2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. 
3. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf"
11,Biotin,ใช้เป็นผลิตภัณฑ์เสริมอาหาร,ความเสี่ยงต่อสตรีให้นมบุตรต่ำมาก (1),1. Breastfeeding Association for Promotion and Cultural and Research of. Biotin. Available from: http://www.e-lactancia.org/producto/187.
12,Vitamin B12 (cobalamin),ใช้เป็นผลิตภัณฑ์เสริมอาหาร,ความเสี่ยงต่อสตรีให้นมบุตรต่ำมาก (1) เหมาะสมต่อสตรีให้นมบุตร (2),"1. Breastfeeding Association for Promotion and Cultural and Research of. Vitamin B12. Available from: http://www.e-lactancia.org/producto/329.
2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf"
13,Folic Acid,ใช้เป็นผลิตภัณฑ์เสริมอาหาร,ความเสี่ยงต่อสตรีให้นมบุตรต่ำมาก (1) เหมาะสมต่อสตรีให้นมบุตร (2) - (3),"1. Breastfeeding Association for Promotion and Cultural and Research of. Folic Acid. Available from: http://www.e-lactancia.org/producto/689.
2. Organization World Health, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002. 
3. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf"
14,Calcium,ใช้เป็นผลิตภัณฑ์เสริมอาหาร,ไม่พบข้อมูลควรปรึกษาแพทย์หรือเภสัชกร,-
15,Grape seed,ใช้เป็นผลิตภัณฑ์เสริมอาหาร,ไม่พบข้อมูลควรปรึกษาแพทย์หรือเภสัชกร,-
16,Fish oil,ใช้เป็นผลิตภัณฑ์เสริมอาหาร,ไม่พบข้อมูลควรปรึกษาแพทย์หรือเภสัชกร,-
17,Evening Primrose,ใช้เป็นผลิตภัณฑ์เสริมอาหาร,ความเสี่ยงต่อสตรีให้นมบุตรต่ำมาก (1) และไม่มีรายงานผลข้างเคียงที่เกิดขึ้นกับสตรีให้นมบุตรหรือทารก,"1. Breastfeeding Association for Promotion and Cultural and Research of. Evening Primrose. Available from: http://www.e-lactancia.org/producto/1146.
2. Briggs GG, Freeman RK, Yaffe SJ. Drugs in pregnancy and lactation: a reference guide to fetal and neonatal risk: Lippincott Williams & Wilkins; 2012. Available from: https://booksfree4u.tk/download-drugs-in-pregnancy-and-lactation-9th-edition-ebook-pdf"
18,Coenzyme Q10,ใช้เป็นผลิตภัณฑ์เสริมอาหาร,ความเสี่ยงต่อสตรีให้นมบุตรต่ำ (1),1. Breastfeeding Association for Promotion and Cultural and Research of. Coenzyme Q10. Available from: http://www.e-lactancia.org/sinonimo/1117.
19,Collagen,ใช้เป็นผลิตภัณฑ์เสริมอาหาร,ความเสี่ยงต่อสตรีให้นมบุตรต่ำมาก (1),1. Breastfeeding Association for Promotion and Cultural and Research of. Collagen. Available from: http://www.e-lactancia.org/producto/1770.