ชื่อสมุนไพร,ข้อบ่งใช้,ระดับความเสี่ยง,หมายเหตุ,แหล่งอ้างอิงข้อมูล
ขมิ้นชัน,ขับลม บรรเทาอาการท้องอืด ท้องเฟ้อ,ไม่พบข้อมูล,ควรปรึกษาแพทย์หรือเภสัชกร,
ขิง,ขับลม บรรเทาอาการท้องอืด ท้องเฟ้อ รคลื่นไส้ อาเจียน,ความเสี่ยงต่ำมาก,ข้อมูลการใช้ขิง ในสตรีให้นมบุตรมีจำกัด แต่อย่างไรก็ตามข้อมูลหลักฐานที่พบไม่ได้ระบุว่า ขิง มีความเสี่ยงที่จะเป็นอันตรายต่อสตรีให้นมบุตร,"1. Breastfeeding Association for Promotion and Cultural and Research of. Ginger. Available from: http://www.e-lactancia.org/producto/880.                                                           2. Organization WH, UNICEF. Breastfeeding and maternal medication. Recommendations for drugs in the Eleventh WHO Model List of Essential Drugs. World Health Organization-UNICEF, Geneva. 2002."
ชุมเห็ดเทศ,บรรเทาอาการท้องผูก,ไม่พบข้อมูล,ควรปรึกษาแพทย์หรือเภสัชกร,
มะขามแขก,บรรเทาอาการท้องผูก,ความเสี่ยงต่ำมาก,,Breastfeeding Association for Promotion and Cultural and Research of. Senna alexandrina. Available from: http://www.e-lactancia.org/sinonimo/993.
กล้วย,บรรเทาอาการท้องเสีย และรักษาแผลในกระเพาะอาหาร,ไม่พบข้อมูล,ควรปรึกษาแพทย์หรือเภสัชกร,
ฟ้าทะลายโจร,บรรเทาอาการท้องเสีย และบรรเทาอาการเจ็บคอ,ไม่พบข้อมูล,ควรปรึกษาแพทย์หรือเภสัชกร,
ทิงเจอร์ทองพันชั่ง,ทาแก้กลากเกลื้อน โรคผิวหนังที่เกิดจากเชื้อรา น้ำกัดเท้า,ไม่พบข้อมูล,ควรปรึกษาแพทย์หรือเภสัชกร,
ทิงเจอร์พลู,บรรเทาอาการผิวหนังอักเสบ อาการอักเสบจากแมลง กัด ต่อย,ไม่พบข้อมูล,ควรปรึกษาแพทย์หรือเภสัชกร,
บัวบก,ใช้สมานแผล และแก้ไข้ แก้ร้อนใน ช้ำใน,ความเสี่ยงต่ำมาก,,Breastfeeding Association for Promotion and Cultural and Research of. Centella asiatica. Available from: http://www.e-lactancia.org/sinonimo/241.
เปลือกมังคุด,ทาแผลสด และแผลเรื้อรัง ,ไม่พบข้อมูล,ควรปรึกษาแพทย์หรือเภสัชกร,
พญายอ,บรรเทาอาการของ เริมและงูสวัด,ไม่พบข้อมูล,ควรปรึกษาแพทย์หรือเภสัชกร,
ว่านหางจระเข้,รักษาแผลไฟไหม้ น้ำร้อนลวก,ความเสี่ยงต่ำ,,Breastfeeding Association for Promotion and Cultural and Research of. Aloe vera. Available from: http://www.e-lactancia.org/otra_escritura/1475.
เมล็ดน้อยหน่า,กำจัดเหา,ไม่พบข้อมูล,ควรปรึกษาแพทย์หรือเภสัชกร,
เถาวัลย์เปรียง,บรรเทาอาการปวดกล้ามเนื้อ ลดการอักเสบของกล้ามเนื้อ,ไม่พบข้อมูล,ควรปรึกษาแพทย์หรือเภสัชกร,
กระเจี๊ยบแดง,ขับปัสสาวะ แก้ขัดเบา,ความเสี่ยงต่ำมาก,,Breastfeeding Association for Promotion and Cultural and Research of. Hibiscus sabdariffa. Available from: http://www.e-lactancia.org/otra_escritura/646.
หญ้าหนวดแมว,ขับปัสสาวะ แก้ขัดเบา ขับนิ่วขนาดเล็ก,ไม่พบข้อมูล,ควรปรึกษาแพทย์หรือเภสัชกร,
มะระขี้นก,แก้ไข้ แก้ร้อนใน เจริญอาหาร,ไม่พบข้อมูล,ควรปรึกษาแพทย์หรือเภสัชกร,
รางจืด,ถอนพิษไข้ แก้ร้อนใน,ไม่พบข้อมูล,ควรปรึกษาแพทย์หรือเภสัชกร,
หญ้าปักกิ่ง,แก้ไข้ แก้ร้อนใน แก้น้ำเหลืองเสีย,ไม่พบข้อมูล,ควรปรึกษาแพทย์หรือเภสัชกร,
หญ้าดอกขาว,ลดความอยากบุหรี่,ไม่พบข้อมูล,ควรปรึกษาแพทย์หรือเภสัชกร,